date,BTC Market Cap,ETH Market Cap,Top 10 (Without BTC & ETH),Others,All
2018-07-12,109263693476.82497,44582775234.01637,53832137537.91449,35249389644.61617,242927995893.372
2018-07-13,106829387990.04874,43058583252.44312,52174202742.08102,34126832483.75412,236189006468.327
2018-07-14,107145717585.4774,43417089532.37335,53296329519.16725,34852748386.129,238711885023.147
2018-07-15,107117271573.7231,43478040808.58002,53666981983.10051,33876169816.79037,238138464182.194
2018-07-16,108903950780.21829,44980010137.45454,55316601079.60877,34755817388.1554,243956379385.43698
2018-07-17,115637208433.3911,48172237051.237144,60425758057.39037,39125491007.28838,263360694549.307
2018-07-18,125285895738.59448,50093375646.64564,63599086160.72213,42584291122.49275,281562648668.455
2018-07-19,125840376647.27176,47968300051.31038,62844120977.28876,41214151150.1281,277866948825.999
2018-07-20,127709804699.66203,46849108851.47914,62484252050.36039,40052500108.19044,277095665709.692
2018-07-21,125820597539.21863,45085461873.32423,58055029598.25304,36912154715.6431,265873243726.439
2018-07-22,126644347498.85966,46191354520.09791,59861726060.85411,37689943556.52132,270387371636.333
2018-07-23,126948286633.17482,45944085755.28768,59523428856.96795,37350742091.66555,269766543337.096
2018-07-24,132270404905.45909,45185546979.493904,59198694820.88096,37964611836.90005,274619258542.734
2018-07-25,144602365043.07205,48149869331.10582,62000512481.98555,38574950425.81358,293327697281.977
2018-07-26,139850429188.6199,47304793330.43528,61637704086.56985,38462364956.07397,287255291561.699
2018-07-27,136166569453.30632,46520159725.86072,59869580409.82988,38533473467.78608,281089783056.783
2018-07-28,139897416706.44568,47245239452.64461,60531558948.22776,39199685490.04195,286873900597.36
2018-07-29,140716208459.56802,47046915978.43651,60540834675.14665,36313421524.10682,284617380637.258
2018-07-30,140827378169.39276,47108994325.494484,60594396462.32961,39212852443.17814,287743621400.395
2018-07-31,140640772123.99832,46276223652.12072,58869920627.19496,38768383396.372,284555299799.68604
2018-08-01,132963528816.20732,43685748084.88833,56384250876.77789,35096382478.80546,268129910256.679
2018-08-02,130813483341.75774,42171077988.81626,56382389338.86548,34291025342.15552,263657976011.595
2018-08-03,129596337579.7665,41537743616.40968,54149958885.81,32284388618.90282,257568428700.889
2018-08-04,127395242323.66476,42196294616.106125,54720035399.69509,31857435575.00303,256169007914.469
2018-08-05,120489906899.28981,41145986285.06191,52623409528.90248,30585898197.9658,244845200911.22
2018-08-06,120977961419.31384,41385054072.208534,53481978599.68842,30935208434.6422,246780202525.853
2018-08-07,119089729729.2738,40953537749.75725,52102148099.09895,30454727472.412,242600143050.542
2018-08-08,115416628667.98373,38223074883.08225,48791243098.49452,29262674141.7355,231693620791.296
2018-08-09,107652609456.40524,35791291191.22547,43369227048.45086,25919457030.70543,212732584726.787
2018-08-10,112337822894.36668,36814735141.44988,45189589071.39041,27420009273.01003,221762156380.217
2018-08-11,106079149843.79391,33664024161.54582,42450807743.47005,25639388596.94522,207833370345.75497
2018-08-12,106756980148.52301,32133841450.27239,40745918007.56294,24215619682.98066,203852359289.339
2018-08-13,108716328040.72339,32205233601.695885,41114521715.96125,23674136601.32748,205710219959.708
2018-08-14,108135868387.49329,28868747042.36861,38957201168.81214,21925272458.13696,197887089056.811
2018-08-15,106911788926.75307,28143782821.250084,37718485868.55405,21009545734.3618,193783603350.919
2018-08-16,107788817699.53123,28457713331.487896,38144036750.64942,21406221341.67945,195796789123.348
2018-08-17,108578823549.00035,29013771356.624912,38619084083.50564,21904729070.1611,198116408059.29202
2018-08-18,113018605465.47177,31900584937.308926,45093109024.04642,26433433628.81888,216445733055.646
2018-08-19,109889851531.17278,29731648689.35023,41684397716.65919,23549358140.4608,204855256077.643
2018-08-20,111490970656.3322,30373462667.100254,42991121867.88682,24416523415.54573,209272078606.865
2018-08-21,107511643840.85838,27502092651.06376,39924086980.83998,22463310038.01788,197401133510.78003
2018-08-22,111399689881.15749,28451639052.689304,41511254881.693306,23127317400.1679,204489901215.708
2018-08-23,109149076720.34018,27322879481.120026,39932103034.611694,22139430947.5811,198543490183.653
2018-08-24,112327439428.77159,27993194187.78576,41066016288.59195,23217203535.6017,204603853440.75098
2018-08-25,115177527171.81319,28606495007.326126,41391599008.12985,24077715894.34283,209253337081.612
2018-08-26,116073397012.0424,28227624888.171623,41482071302.60773,24258964604.01325,210042057806.835
2018-08-27,115406552890.99017,27764964383.52451,40820122909.58412,24319059066.6682,208310699250.76703
2018-08-28,118546009735.9248,29048911774.353527,43264566986.673935,26964058130.90173,217823546627.854
2018-08-29,121992306938.18849,30108250592.80309,45415119349.60589,28243216131.03553,225758893011.633
2018-08-30,121479639297.29665,29316888089.791355,44651913594.68257,27016669490.00143,222465110471.772
2018-08-31,121103237785.70247,28983027590.772324,43683981367.69477,26324999465.89844,220095246210.068
2018-09-01,121186316787.30235,28697700432.171036,44262532725.78226,27192052734.39835,221338602679.654
2018-09-02,124380655386.09407,30072245775.768417,46940935871.39311,28958985699.6094,230352822732.86502
2018-09-03,125994361368.72597,29960438166.83158,46997291980.19773,28273037098.92572,231225128614.681
2018-09-04,125200923805.39091,29383711204.563396,46247977822.35472,28043152085.66498,228875764917.974
2018-09-05,126949626755.787,29050036562.782276,46453683755.91053,28808213937.1432,231261561011.623
2018-09-06,116602093876.15263,23699297868.898872,39939360575.27632,24629341646.93818,204870093967.266
2018-09-07,112034863191.16696,23333059272.415604,40357039328.47722,24560708349.40022,200285670141.46
2018-09-08,110396118506.89438,21937448595.359604,39011291458.88814,23504936420.72488,194849794981.867
2018-09-09,106668555553.51491,20053781147.975986,37056544068.07304,21996763957.92407,185775644727.488
2018-09-10,108219061918.52274,19952064720.055923,37544793162.7556,22265061147.71074,187980980949.04498
2018-09-11,108846231385.41852,19995395751.499054,36769057160.12805,22734665313.59238,188345349610.638
2018-09-12,108449181464.89592,18758112117.52692,36107255096.26454,21699295658.28862,185013844336.976
2018-09-13,109298582014.21779,18646346738.68822,36037831857.21261,21823174703.87738,185805935313.996
2018-09-14,112124461661.13242,21593950253.338764,38054526099.331215,23131641527.8016,194904579541.604
2018-09-15,112334356298.05247,21564238470.858032,37513416446.619896,23404473544.0396,194816484759.57
2018-09-16,112796085614.54744,22752839429.228737,37981396071.01084,23120601036.15898,196650922150.94598
2018-09-17,112373562206.64603,22455303413.059746,37911273857.22242,23475493923.6768,196215633400.60498
2018-09-18,107960190646.44861,20051344766.00986,35716209657.94259,21968825060.46594,185696570130.867
2018-09-19,109629673484.58704,21444053203.54171,38872501054.71045,22791165949.5508,192737393692.39
2018-09-20,110292032124.89343,21345953864.748203,38997886693.77765,22612808128.78372,193248680812.203
2018-09-21,112172960507.04015,22905841034.88813,45910857255.82102,24128878432.5937,205118537230.343
2018-09-22,116710823191.41154,25265891712.53375,52591276787.65713,26247740090.79758,220815731782.4
2018-09-23,116607568773.97198,24698456681.437977,52204551631.42058,24870163914.35146,218380741001.18204
2018-09-24,116001860055.71248,25008142946.45999,53357796651.88515,25953744798.75538,220321544452.813
2018-09-25,114024650850.04753,23326983438.531864,48390342125.706825,24566252466.87178,210308228881.15802
2018-09-26,111360852966.35107,22430430093.888412,49030299177.83929,24510958726.15623,207332540964.235
2018-09-27,111760801180.65999,21996083267.123955,49683657040.83685,23689028235.0012,207129569723.62198
2018-09-28,115905890382.87775,23427304227.532307,52767946802.32462,25433551654.54532,217534693067.28
2018-09-29,114768551691.0015,22728786275.759216,51883191657.16558,25015282071.6997,214395811695.626
2018-09-30,114265552573.72394,23704835590.94445,53078780083.56278,24902773162.95483,215951941411.186
2018-10-01,114617564007.79602,23810956054.875587,53372653964.86279,24716601484.3416,216517775511.87598
2018-10-02,114225251470.51224,23660128684.62694,53299410408.04484,24876242438.61098,216061033001.795
2018-10-03,112814709079.4464,23102075847.08329,50399361952.40761,25404977205.3357,211721124084.273
2018-10-04,112545036630.82414,22578266460.225845,50311506141.19028,24894663990.91274,210329473223.153
2018-10-05,113846158429.54834,22746296668.385403,50468278662.59196,25373458072.5323,212434191833.05798
2018-10-06,114567814410.76247,23346587563.266563,50435529492.69723,25837332292.96674,214187263759.693
2018-10-07,114021329402.35275,23047878586.785908,48758653600.46608,25605691092.83626,211433552682.441
2018-10-08,113962679824.78195,23108155611.30217,48851111863.80284,24537531252.24204,210459478552.129
2018-10-09,115167647222.33853,23515310563.890266,49791901192.065025,26870874300.38418,215345733278.678
2018-10-10,114837789505.01476,23360773268.500908,48965004137.755165,26524189370.98616,213687756282.25696
2018-10-11,113987017102.36557,23136932206.46423,48042407683.74033,26745434231.56687,211911791224.137
2018-10-12,108155761830.83029,19696329362.922806,41176855591.05221,23555317498.0107,192584264282.816
2018-10-13,108845285496.56729,20205253420.305264,43340195171.91767,23202458679.60278,195593192768.393
2018-10-14,109372673141.74013,20618468437.571827,43635967914.695206,23415515910.09683,197042625404.10397
2018-10-15,109624316973.41199,20154043106.326366,42402449074.59688,23038609174.37776,195219418328.713
2018-10-16,115236573309.55287,21758441436.75235,45656496142.14368,25071178308.8901,207722689197.33902
2018-10-17,114960968517.5375,21797843239.523815,46611817614.52057,25493318410.00612,208863947781.588
2018-10-18,114953321633.49261,21665771379.758472,46862374096.35399,25339572141.16593,208821039250.771
2018-10-19,112970698851.37468,20978898040.00994,45616298646.78798,24737519266.9434,204303414805.116
2018-10-20,112394945004.92676,20944981899.996338,45598454744.46975,24505156545.79815,203443538195.191
2018-10-21,113214078424.96126,21245961049.679523,46106334666.56256,25019080896.83566,205585455038.039
2018-10-22,113208108538.70485,21194118735.35679,45918181533.78852,24637050162.40884,204957458970.259
2018-10-23,112905904007.05743,21065455939.758324,45716310909.53313,24924842358.12012,204612513214.469
2018-10-24,112227883463.22098,20971271070.992756,45211280215.59488,25333960297.79938,203744395047.60797
2018-10-25,112363064964.16649,20915202600.824116,45291634094.93506,25473627051.27234,204043528711.198
2018-10-26,112010056845.21841,20806627800.42047,45374696625.09617,25183640572.84595,203375021843.581
2018-10-27,112200801079.02803,20912618603.71542,45342340486.94705,24511257097.7175,202967017267.408
2018-10-28,111998326691.92026,20895701368.92201,44917507294.51305,24033463983.47968,201844999338.835
2018-10-29,112422008134.01062,21050011679.152504,45337193139.140175,24359451885.4457,203168664837.749
2018-10-30,109167179052.3813,20141044164.60023,43148608193.80772,23522196200.04475,195979027610.83398
2018-10-31,109890575608.10541,20319037427.370758,43663071731.14529,23697794968.45854,197570479735.08002
