Date,Bitcoin,Ethereum,Total
2018-10-30,487178.0,197735.0,9651.0
2018-10-31,491499.0,187035.0,8889.0
2018-11-01,479726.0,170110.0,8293.0
2018-11-02,523963.0,145790.0,9278.0
2018-11-03,455596.0,141922.0,9102.0
2018-11-04,441929.0,149906.0,9620.0
2018-11-05,482793.0,170711.0,9761.0
2018-11-06,463001.0,164919.0,8658.0
2018-11-07,479823.0,144983.0,8752.0
2018-11-08,486354.0,145852.0,9451.0
2018-11-09,473978.0,168618.0,10149.0
2018-11-10,402068.0,151734.0,9200.0
2018-11-11,398879.0,173818.0,9759.0
2018-11-12,453524.0,168669.0,10557.0
2018-11-13,427037.0,158500.0,12207.0
2018-11-14,476711.0,170450.0,12312.0
2018-11-15,482449.0,162090.0,13260.0
2018-11-16,469443.0,152085.0,14827.0
2018-11-17,396358.0,137481.0,12901.0
2018-11-18,358070.0,133253.0,14183.0
2018-11-19,446774.0,205960.0,16010.0
2018-11-20,522071.0,179397.0,14237.0
2018-11-21,409709.0,153131.0,13685.0
2018-11-22,456941.0,150609.0,16105.0
2018-11-23,423599.0,152119.0,11525.0
2018-11-24,404285.0,133130.0,10444.0
2018-11-25,388571.0,148021.0,11925.0
2018-11-26,427229.0,154754.0,11840.0
2018-11-27,441352.0,148046.0,13023.0
2018-11-28,407108.0,154487.0,14348.0
2018-11-29,412039.0,140660.0,13216.0
2018-11-30,393268.0,156517.0,22443.0
2018-12-01,406447.0,133304.0,14871.0
2018-12-02,354483.0,133523.0,15910.0
2018-12-03,391380.0,144229.0,14535.0
2018-12-04,482202.0,137196.0,13941.0
2018-12-05,418284.0,157447.0,16606.0
2018-12-06,454423.0,149831.0,13977.0
2018-12-07,456640.0,166867.0,12946.0
2018-12-08,372217.0,185191.0,13822.0
2018-12-09,358189.0,154150.0,13551.0
2018-12-10,422881.0,159229.0,15875.0
2018-12-11,436192.0,146837.0,16087.0
2018-12-12,439175.0,152520.0,15206.0
2018-12-13,453053.0,149508.0,17617.0
2018-12-14,506711.0,149366.0,16510.0
2018-12-15,431387.0,161390.0,14743.0
2018-12-16,376838.0,162698.0,15443.0
2018-12-17,498496.0,156959.0,34041.0
2018-12-18,446603.0,144583.0,52581.0
2018-12-19,500479.0,165504.0,56985.0
2018-12-20,443883.0,168423.0,40754.0
2018-12-21,450957.0,159429.0,58753.0
2018-12-22,398630.0,130915.0,26265.0
2018-12-23,365333.0,149943.0,23731.0
