"Date","BTC Market Cap","ETH Market Cap","Top 10 (Without BTC & ETH)","Others"
"2014-04-02","5506313797",,"61931056","2397479"
"2014-04-03","5604036051",,"62108287","2494273"
"2014-04-04","5641613449",,"63275967","2543398"
"2014-04-05","5824866676",,"65075567","2752711"
"2014-04-06","5808861023",,"64471714","2671773"
"2014-04-07","5775641210",,"64281113","2603468"
"2014-04-08","5718579640",,"62642875","2571614"
"2014-04-09","5589580215",,"61493410","2333706"
"2014-04-10","4611917257",,"49396946","2007444"
"2014-04-11","5318033925",,"51456022","2336894"
"2014-04-12","5321874506",,"48919273","2289956"
"2014-04-13","5234667259",,"46807035","2339225"
"2014-04-14","5802302128",,"50955129","2517881"
"2014-04-15","6522974948",,"60350200","2821455"
"2014-04-16","6674473792",,"54902382","2654214"
"2014-04-17","6278792387",,"52054276","0"
"2014-04-18","6074116360",,"51762033","0"
"2014-04-19","6353700029",,"50604732","3006893"
"2014-04-20","6312896984",,"48577865","2958104"
"2014-04-21","6284666435",,"50921106","0"
"2014-04-22","6187034895",,"50342674","0"
"2014-04-23","6231920621",,"51370029","0"
"2014-04-24","6350012525",,"51825802","0"
"2014-04-25","5857079867",,"49915301","0"
"2014-04-26","5822776642",,"49333179","0"
"2014-04-27","5542720307",,"45084430","0"
"2014-04-28","5593864954",,"47132249","131197"
"2014-04-29","5683724524",,"41918040","6979445"
"2014-04-30","5690810165",,"48616101","0"
"2014-05-01","5821425472",,"48670818","366200"
"2014-05-02","5716625927",,"47214198","302261"
"2014-05-03","5570422954",,"44307783","258383"
"2014-05-04","5554777406",,"45817298","239644"
"2014-05-05","5518951942",,"47842513","0"
"2014-05-06","5463474513",,"53505296","235600"
"2014-05-07","5590798951",,"56568492","0"
"2014-05-08","5609810850",,"54543546","0"
"2014-05-09","5730133343",,"56866013","0"
"2014-05-10","5795543101",,"57654707","0"
"2014-05-11","5598956479",,"55948540","0"
"2014-05-12","5633629021",,"56970992","213290"
"2014-05-13","5625308533",,"61418820","0"
"2014-05-14","5669111766",,"73092606","0"
"2014-05-15","5712906334",,"80209779","214590"
"2014-05-16","5725217915",,"79447754","308832"
"2014-05-17","5737967927",,"71077302","0"
"2014-05-18","5706165793",,"74377642","0"
"2014-05-19","5706978471",,"77050958","0"
"2014-05-20","6214911439",,"82128413","0"
"2014-05-21","6294422409",,"86585050","0"
"2014-05-22","6716604600",,"79715751","0"
"2014-05-23","6662964359",,"84198033","0"
"2014-05-24","6727963028",,"84459844","0"
"2014-05-25","7325371780",,"93945577","0"
"2014-05-26","7479335238",,"78555550","0"
"2014-05-27","7325147499",,"82087633","244983"
"2014-05-28","7402205099",,"70373864","0"
"2014-05-29","7290260762",,"78137533","256904"
"2014-05-30","7897757908",,"81064573","298436"
"2014-05-31","8007248676",,"81653363","285994"
"2014-06-01","8094125581",,"56208979","32254010"
"2014-06-02","8487587033",,"62997549","34242499"
"2014-06-03","8580309812",,"61043349","34282776"
"2014-06-04","8249183077",,"54457164","31230298"
"2014-06-05","8478552324",,"403262635","30374987"
"2014-06-06","8409353268",,"406239159","361910"
"2014-06-07","8428206589",,"398236918","1702750"
"2014-06-08","8445489607",,"398964646","1701813"
"2014-06-09","8290260777.375",,"397628805.097202","34835124.917588"
"2014-06-10","8359493314.815",,"406902831.987507","37397244.655613"
"2014-06-11","8116778557.0175",,"398652082.658111","35168475.295839"
"2014-06-12","7309311839.375",,"362865942.275389","30905753.623731"
"2014-06-13","7666330027.785",,"376067265.0541485","31149424.3915215"
"2014-06-14","7350662806.2225",,"363273343.286694","31728302.974096"
"2014-06-15","7526353631.25",,"370368349.410157","31699189.188043"
"2014-06-16","7646618730",,"362094031.282046","0.000004"
"2014-06-17","7838352937.170001",,"361060593.873048","82438241.978911"
"2014-06-18","7802403926.750001",,"362923883.750154","84521044.762405"
"2014-06-19","7665345555.277503",,"393044549.767719","52392365.765088"
"2014-06-20","7625133251.249999",,"424310259.630061","20759923.99964"
"2014-06-21","7643411863.58",,"397138308.080405","54961431.446525"
"2014-06-22","7694627830.545",,"429387076.971009","19143330.038001"
"2014-06-23","7582634214.4124975",,"430907149.0182325","18017833.90125"
"2014-06-24","7537047075.374997",,"387391265.329865","47081658.162618"
"2014-06-25","7268686297.067499",,"400143854.259503","5826662.764188"
"2014-06-26","7505647765",,"374451981.703035","45548429.149705"
"2014-06-27","7750006889.325",,"380564744.678873","41305997.987637"
"2014-06-28","7709210052.5650015",,"371958372.1930435","34183552.180335"
"2014-06-29","7758488114.8425",,"332993836.129749","65375799.055811"
"2014-06-30","8269625590.124999",,"362494189.069633","35980089.130078"
"2014-07-01","8351853048.375001",,"368922161.064929","6441162.17914"
"2014-07-02","8408206448.562503",,"358789194.527727","6443270.07687"
"2014-07-03","8308930858.410004",,"359248000.970804","7162758.535822"
"2014-07-04","8140821665.68",,"339952087.073095","3636699.601025"
"2014-07-05","8149049043.304998",,"331631096.601696","15020848.804176"
"2014-07-06","8195697095.937501",,"320925159.907571","10345011.397048"
"2014-07-07","8048556476.875003",,"336820820.468427","8387289.72297"
"2014-07-08","8058075305.249995",,"346908516.126159","10423549.251296"
"2014-07-09","8060033472",,"349464115.62609","9908710.59303"
