Time,Symbol,Funding Rate
2025-01-16 08:00:00,BTCUSDT,0.0001
2025-01-16 00:00:00,BTCUSDT,0.00005755
2025-01-15 16:00:00,BTCUSDT,0.0001
2025-01-15 08:00:00,BTCUSDT,0.00007032
2025-01-15 00:00:00,BTCUSDT,0.00005343
2025-01-14 16:00:00,BTCUSDT,0.0001
2025-01-14 08:00:00,BTCUSDT,0.0001
2025-01-14 00:00:00,BTCUSDT,0.0001
2025-01-13 16:00:00,BTCUSDT,0.00000661
2025-01-13 08:00:00,BTCUSDT,0.00007361
2025-01-13 00:00:00,BTCUSDT,0.00009996
2025-01-12 16:00:00,BTCUSDT,0.00008847
2025-01-12 08:00:00,BTCUSDT,0.00006034
2025-01-12 00:00:00,BTCUSDT,0.0000831
2025-01-11 16:00:00,BTCUSDT,0.00004981
2025-01-11 08:00:00,BTCUSDT,0.00006697
2025-01-11 00:00:00,BTCUSDT,0.0000608
2025-01-10 16:00:00,BTCUSDT,0.00007043
2025-01-10 08:00:00,BTCUSDT,0.00000902
2025-01-10 00:00:00,BTCUSDT,0.00006938
2025-01-09 16:00:00,BTCUSDT,-0.00000846
2025-01-09 08:00:00,BTCUSDT,0.00005118
2025-01-09 00:00:00,BTCUSDT,0.0000643
2025-01-08 16:00:00,BTCUSDT,0.00009631
2025-01-08 08:00:00,BTCUSDT,0.00004936
2025-01-08 00:00:00,BTCUSDT,0.00008585
2025-01-07 16:00:00,BTCUSDT,0.0001
2025-01-07 08:00:00,BTCUSDT,0.00002899
2025-01-07 00:00:00,BTCUSDT,0.00005254
2025-01-06 16:00:00,BTCUSDT,0.0001
2025-01-06 08:00:00,BTCUSDT,0.0001
2025-01-06 00:00:00,BTCUSDT,0.0001
2025-01-05 16:00:00,BTCUSDT,0.00007478
2025-01-05 08:00:00,BTCUSDT,0.0001
2025-01-05 00:00:00,BTCUSDT,0.0001
2025-01-04 16:00:00,BTCUSDT,0.00005258
2025-01-04 08:00:00,BTCUSDT,0.00009859
2025-01-04 00:00:00,BTCUSDT,0.00003779
2025-01-03 16:00:00,BTCUSDT,0.0001
2025-01-03 08:00:00,BTCUSDT,0.00009015
2025-01-03 00:00:00,BTCUSDT,0.0001
2025-01-02 16:00:00,BTCUSDT,0.0001
2025-01-02 08:00:00,BTCUSDT,0.0001
2025-01-02 00:00:00,BTCUSDT,0.0001
2025-01-01 16:00:00,BTCUSDT,0.00006921
2025-01-01 08:00:00,BTCUSDT,0.00007085
2025-01-01 00:00:00,BTCUSDT,0.0001
2024-12-31 16:00:00,BTCUSDT,0.0001
2024-12-31 08:00:00,BTCUSDT,-0.0000019
2024-12-31 00:00:00,BTCUSDT,0.00000865
2024-12-30 16:00:00,BTCUSDT,-0.00002975
2024-12-30 08:00:00,BTCUSDT,-0.00001761
2024-12-30 00:00:00,BTCUSDT,-0.00005981
2024-12-29 16:00:00,BTCUSDT,0.00003159
2024-12-29 08:00:00,BTCUSDT,0.0000006
2024-12-29 00:00:00,BTCUSDT,0.00003548
2024-12-28 16:00:00,BTCUSDT,0.00000577
2024-12-28 08:00:00,BTCUSDT,-0.00003321
2024-12-28 00:00:00,BTCUSDT,0.00000693
2024-12-27 16:00:00,BTCUSDT,0.00000327
2024-12-27 08:00:00,BTCUSDT,0.00005263
2024-12-27 00:00:00,BTCUSDT,0.00001089
2024-12-26 16:00:00,BTCUSDT,0.00004138
2024-12-26 08:00:00,BTCUSDT,0.00006989
2024-12-26 00:00:00,BTCUSDT,0.0001
2024-12-25 16:00:00,BTCUSDT,0.0001
2024-12-25 08:00:00,BTCUSDT,0.0001
2024-12-25 00:00:00,BTCUSDT,0.0001
2024-12-24 16:00:00,BTCUSDT,0.00008079
2024-12-24 08:00:00,BTCUSDT,0.00005237
2024-12-24 00:00:00,BTCUSDT,0.0000498
2024-12-23 16:00:00,BTCUSDT,0.00003701
2024-12-23 08:00:00,BTCUSDT,0.00000435
2024-12-23 00:00:00,BTCUSDT,0.00002123
2024-12-22 16:00:00,BTCUSDT,0.00002233
2024-12-22 08:00:00,BTCUSDT,0.0000456
2024-12-22 00:00:00,BTCUSDT,0.00001532
2024-12-21 16:00:00,BTCUSDT,-0.00001912
2024-12-21 08:00:00,BTCUSDT,-0.00003727
2024-12-21 00:00:00,BTCUSDT,-0.00002976
2024-12-20 16:00:00,BTCUSDT,0.00009101
2024-12-20 08:00:00,BTCUSDT,0.00002774
2024-12-20 00:00:00,BTCUSDT,-0.00004799
2024-12-19 16:00:00,BTCUSDT,-0.00002748
2024-12-19 08:00:00,BTCUSDT,-0.00004531
2024-12-19 00:00:00,BTCUSDT,0.00006854
2024-12-18 16:00:00,BTCUSDT,0.0001
2024-12-18 08:00:00,BTCUSDT,0.00009332
2024-12-18 00:00:00,BTCUSDT,0.0001
2024-12-17 16:00:00,BTCUSDT,0.0001
2024-12-17 08:00:00,BTCUSDT,0.0001
2024-12-17 00:00:00,BTCUSDT,0.0001
2024-12-16 16:00:00,BTCUSDT,0.0001
2024-12-16 08:00:00,BTCUSDT,0.0001
2024-12-16 00:00:00,BTCUSDT,0.0001
2024-12-15 16:00:00,BTCUSDT,0.0001
2024-12-15 08:00:00,BTCUSDT,0.0001
2024-12-15 00:00:00,BTCUSDT,0.0001
2024-12-14 16:00:00,BTCUSDT,0.0001
2024-12-14 08:00:00,BTCUSDT,0.0001
2024-12-14 00:00:00,BTCUSDT,0.0001
2024-12-13 16:00:00,BTCUSDT,0.0001
2024-12-13 08:00:00,BTCUSDT,0.0001
2024-12-13 00:00:00,BTCUSDT,0.0001
2024-12-12 16:00:00,BTCUSDT,0.0001
2024-12-12 08:00:00,BTCUSDT,0.0001
2024-12-12 00:00:00,BTCUSDT,0.0001
2024-12-11 16:00:00,BTCUSDT,0.0001
2024-12-11 08:00:00,BTCUSDT,0.0001
2024-12-11 00:00:00,BTCUSDT,0.0001
2024-12-10 16:00:00,BTCUSDT,0.0001
2024-12-10 08:00:00,BTCUSDT,0.0001
2024-12-10 00:00:00,BTCUSDT,0.0001
2024-12-09 16:00:00,BTCUSDT,0.00015788
2024-12-09 08:00:00,BTCUSDT,0.0001
2024-12-09 00:00:00,BTCUSDT,0.00017858
2024-12-08 16:00:00,BTCUSDT,0.00029123
2024-12-08 08:00:00,BTCUSDT,0.00024888
2024-12-08 00:00:00,BTCUSDT,0.00026121
2024-12-07 16:00:00,BTCUSDT,0.0001
2024-12-07 08:00:00,BTCUSDT,0.0001
2024-12-07 00:00:00,BTCUSDT,0.00015125
2024-12-06 16:00:00,BTCUSDT,0.0001
2024-12-06 08:00:00,BTCUSDT,0.0001
2024-12-06 00:00:00,BTCUSDT,0.00013466
2024-12-05 16:00:00,BTCUSDT,0.00064806
2024-12-05 08:00:00,BTCUSDT,0.00108552
2024-12-05 00:00:00,BTCUSDT,0.00031187
2024-12-04 16:00:00,BTCUSDT,0.00036313
2024-12-04 08:00:00,BTCUSDT,0.00042588
2024-12-04 00:00:00,BTCUSDT,0.00027771
2024-12-03 16:00:00,BTCUSDT,0.00012348
2024-12-03 08:00:00,BTCUSDT,0.00025103
2024-12-03 00:00:00,BTCUSDT,0.0001
2024-12-02 16:00:00,BTCUSDT,0.0001
2024-12-02 08:00:00,BTCUSDT,0.00014214
2024-12-02 00:00:00,BTCUSDT,0.00015058
2024-12-01 16:00:00,BTCUSDT,0.00016625
2024-12-01 08:00:00,BTCUSDT,0.0003311
2024-12-01 00:00:00,BTCUSDT,0.0001532
2024-11-30 16:00:00,BTCUSDT,0.00015012
2024-11-30 08:00:00,BTCUSDT,0.00028189
2024-11-30 00:00:00,BTCUSDT,0.00016876
2024-11-29 16:00:00,BTCUSDT,0.00035268
2024-11-29 08:00:00,BTCUSDT,0.0002543
2024-11-29 00:00:00,BTCUSDT,0.00030861
2024-11-28 16:00:00,BTCUSDT,0.00023188
2024-11-28 08:00:00,BTCUSDT,0.00019894
2024-11-28 00:00:00,BTCUSDT,0.00019422
2024-11-27 16:00:00,BTCUSDT,0.00027093
2024-11-27 08:00:00,BTCUSDT,0.00023229
2024-11-27 00:00:00,BTCUSDT,0.00023609
2024-11-26 16:00:00,BTCUSDT,0.0001
2024-11-26 08:00:00,BTCUSDT,0.00012749
2024-11-26 00:00:00,BTCUSDT,0.0001
2024-11-25 16:00:00,BTCUSDT,0.00034875
2024-11-25 08:00:00,BTCUSDT,0.00035212
2024-11-25 00:00:00,BTCUSDT,0.00036288
2024-11-24 16:00:00,BTCUSDT,0.00029092
2024-11-24 08:00:00,BTCUSDT,0.00032388
2024-11-24 00:00:00,BTCUSDT,0.00034942
2024-11-23 16:00:00,BTCUSDT,0.00025348
2024-11-23 08:00:00,BTCUSDT,0.00017386
2024-11-23 00:00:00,BTCUSDT,0.0001
2024-11-22 16:00:00,BTCUSDT,0.00023833
2024-11-22 08:00:00,BTCUSDT,0.00028963
2024-11-22 00:00:00,BTCUSDT,0.00015928
2024-11-21 16:00:00,BTCUSDT,0.00017392
2024-11-21 08:00:00,BTCUSDT,0.00014189
2024-11-21 00:00:00,BTCUSDT,0.0001
2024-11-20 16:00:00,BTCUSDT,0.00016424
2024-11-20 08:00:00,BTCUSDT,0.00011458
2024-11-20 00:00:00,BTCUSDT,0.0001
2024-11-19 16:00:00,BTCUSDT,0.00024229
2024-11-19 08:00:00,BTCUSDT,0.00039932
2024-11-19 00:00:00,BTCUSDT,0.00031835
2024-11-18 16:00:00,BTCUSDT,0.00033111
2024-11-18 08:00:00,BTCUSDT,0.0005391
2024-11-18 00:00:00,BTCUSDT,0.00021098
2024-11-17 16:00:00,BTCUSDT,0.00035655
2024-11-17 08:00:00,BTCUSDT,0.00030785
2024-11-17 00:00:00,BTCUSDT,0.00029261
2024-11-16 16:00:00,BTCUSDT,0.00025031
2024-11-16 08:00:00,BTCUSDT,0.00039173
2024-11-16 00:00:00,BTCUSDT,0.00019471
2024-11-15 16:00:00,BTCUSDT,0.0001
2024-11-15 08:00:00,BTCUSDT,0.0001
2024-11-15 00:00:00,BTCUSDT,0.0001
2024-11-14 16:00:00,BTCUSDT,0.00012832
2024-11-14 08:00:00,BTCUSDT,0.00016549
2024-11-14 00:00:00,BTCUSDT,0.0001
2024-11-13 16:00:00,BTCUSDT,0.00035174
2024-11-13 08:00:00,BTCUSDT,0.0001
2024-11-13 00:00:00,BTCUSDT,0.00014477
2024-11-12 16:00:00,BTCUSDT,0.00050342
2024-11-12 08:00:00,BTCUSDT,0.00061844
2024-11-12 00:00:00,BTCUSDT,0.00038564
2024-11-11 16:00:00,BTCUSDT,0.0001
2024-11-11 08:00:00,BTCUSDT,0.00017995
2024-11-11 00:00:00,BTCUSDT,0.00039065
2024-11-10 16:00:00,BTCUSDT,0.00018979
2024-11-10 08:00:00,BTCUSDT,0.00032792
2024-11-10 00:00:00,BTCUSDT,0.0001
2024-11-09 16:00:00,BTCUSDT,0.0001
2024-11-09 08:00:00,BTCUSDT,0.0001
2024-11-09 00:00:00,BTCUSDT,0.0001
2024-11-08 16:00:00,BTCUSDT,0.0001
2024-11-08 08:00:00,BTCUSDT,0.0001
2024-11-08 00:00:00,BTCUSDT,0.0001
2024-11-07 16:00:00,BTCUSDT,0.0001
2024-11-07 08:00:00,BTCUSDT,0.00011201
2024-11-07 00:00:00,BTCUSDT,0.0001
2024-11-06 16:00:00,BTCUSDT,0.0001
2024-11-06 08:00:00,BTCUSDT,0.0001
2024-11-06 00:00:00,BTCUSDT,0.00007377
2024-11-05 16:00:00,BTCUSDT,0.0001
2024-11-05 08:00:00,BTCUSDT,0.0001
2024-11-05 00:00:00,BTCUSDT,0.0001
2024-11-04 16:00:00,BTCUSDT,0.0001
2024-11-04 08:00:00,BTCUSDT,0.0001
2024-11-04 00:00:00,BTCUSDT,0.0001
2024-11-03 16:00:00,BTCUSDT,0.0001
2024-11-03 08:00:00,BTCUSDT,0.0001
2024-11-03 00:00:00,BTCUSDT,0.0001
2024-11-02 16:00:00,BTCUSDT,0.0001
2024-11-02 08:00:00,BTCUSDT,0.0001
2024-11-02 00:00:00,BTCUSDT,0.0001
2024-11-01 16:00:00,BTCUSDT,0.0001
2024-11-01 08:00:00,BTCUSDT,0.0001
2024-11-01 00:00:00,BTCUSDT,0.0001
2024-10-31 16:00:00,BTCUSDT,0.0001
2024-10-31 08:00:00,BTCUSDT,0.0001
2024-10-31 00:00:00,BTCUSDT,0.0001
2024-10-30 16:00:00,BTCUSDT,0.0001
2024-10-30 08:00:00,BTCUSDT,0.0001
2024-10-30 00:00:00,BTCUSDT,0.0001
2024-10-29 16:00:00,BTCUSDT,0.0001
2024-10-29 08:00:00,BTCUSDT,0.0001
2024-10-29 00:00:00,BTCUSDT,0.0001
2024-10-28 16:00:00,BTCUSDT,0.0001
2024-10-28 08:00:00,BTCUSDT,0.0001
2024-10-28 00:00:00,BTCUSDT,0.0001
2024-10-27 16:00:00,BTCUSDT,0.00009734
2024-10-27 08:00:00,BTCUSDT,0.0001
2024-10-27 00:00:00,BTCUSDT,0.00008659
2024-10-26 16:00:00,BTCUSDT,0.00008614
2024-10-26 08:00:00,BTCUSDT,0.0001
2024-10-26 00:00:00,BTCUSDT,0.00007515
2024-10-25 16:00:00,BTCUSDT,0.0001
2024-10-25 08:00:00,BTCUSDT,0.00007097
2024-10-25 00:00:00,BTCUSDT,0.0001
2024-10-24 16:00:00,BTCUSDT,0.0001
2024-10-24 08:00:00,BTCUSDT,0.0001
2024-10-24 00:00:00,BTCUSDT,0.0001
2024-10-23 16:00:00,BTCUSDT,0.0001
2024-10-23 08:00:00,BTCUSDT,0.0001
2024-10-23 00:00:00,BTCUSDT,0.0001
2024-10-22 16:00:00,BTCUSDT,0.0001
2024-10-22 08:00:00,BTCUSDT,0.0001
2024-10-22 00:00:00,BTCUSDT,0.0001
2024-10-21 16:00:00,BTCUSDT,0.0001
2024-10-21 08:00:00,BTCUSDT,0.0001
2024-10-21 00:00:00,BTCUSDT,0.0001
2024-10-20 16:00:00,BTCUSDT,0.0001
2024-10-20 08:00:00,BTCUSDT,0.0001
2024-10-20 00:00:00,BTCUSDT,0.0001
2024-10-19 16:00:00,BTCUSDT,0.0001
2024-10-19 08:00:00,BTCUSDT,0.0001
2024-10-19 00:00:00,BTCUSDT,0.0001
2024-10-18 16:00:00,BTCUSDT,0.0001
2024-10-18 08:00:00,BTCUSDT,0.0001
2024-10-18 00:00:00,BTCUSDT,0.00008463
2024-10-17 16:00:00,BTCUSDT,0.0001
2024-10-17 08:00:00,BTCUSDT,0.0001
2024-10-17 00:00:00,BTCUSDT,0.0001
2024-10-16 16:00:00,BTCUSDT,0.0001
2024-10-16 08:00:00,BTCUSDT,0.0001
2024-10-16 00:00:00,BTCUSDT,0.0001
2024-10-15 16:00:00,BTCUSDT,0.0001
2024-10-15 08:00:00,BTCUSDT,0.0001
2024-10-15 00:00:00,BTCUSDT,0.0001
2024-10-14 16:00:00,BTCUSDT,0.0001
2024-10-14 08:00:00,BTCUSDT,0.0001
2024-10-14 00:00:00,BTCUSDT,0.00006128
2024-10-13 16:00:00,BTCUSDT,0.00006966
2024-10-13 08:00:00,BTCUSDT,0.00005896
2024-10-13 00:00:00,BTCUSDT,0.0000918
2024-10-12 16:00:00,BTCUSDT,0.00006714
2024-10-12 08:00:00,BTCUSDT,0.0001
2024-10-12 00:00:00,BTCUSDT,0.0001
2024-10-11 16:00:00,BTCUSDT,0.0001
2024-10-11 08:00:00,BTCUSDT,0.00004712
2024-10-11 00:00:00,BTCUSDT,0.00000744
2024-10-10 16:00:00,BTCUSDT,0.00006638
2024-10-10 08:00:00,BTCUSDT,0.00005089
2024-10-10 00:00:00,BTCUSDT,0.00002703
2024-10-09 16:00:00,BTCUSDT,0.00008869
2024-10-09 08:00:00,BTCUSDT,0.00008393
2024-10-09 00:00:00,BTCUSDT,0.00002239
2024-10-08 16:00:00,BTCUSDT,0.0000006
2024-10-08 08:00:00,BTCUSDT,-0.00000639
2024-10-08 00:00:00,BTCUSDT,-0.00002285
2024-10-07 16:00:00,BTCUSDT,0.00008184
2024-10-07 08:00:00,BTCUSDT,0.00000109
2024-10-07 00:00:00,BTCUSDT,0.00001298
2024-10-06 16:00:00,BTCUSDT,0.00004254
2024-10-06 08:00:00,BTCUSDT,0.0001
2024-10-06 00:00:00,BTCUSDT,0.0001
2024-10-05 16:00:00,BTCUSDT,0.00007081
2024-10-05 08:00:00,BTCUSDT,0.00003716
2024-10-05 00:00:00,BTCUSDT,0.00001457
2024-10-04 16:00:00,BTCUSDT,0.00006585
2024-10-04 08:00:00,BTCUSDT,0.00000878
2024-10-04 00:00:00,BTCUSDT,0.0001
2024-10-03 16:00:00,BTCUSDT,0.00007355
2024-10-03 08:00:00,BTCUSDT,0.0001
2024-10-03 00:00:00,BTCUSDT,0.00007216
