Date,BNB Chain,Tron,Bitcoin,Solana,Ethereum,Polygon,Ronin,Aptos,Celo,TON
2023-11-10,1051683.00,1542668.00,716316.00,165088.00,371206.00,345853.00,78234.00,44876.00,117358.00,13587.00
2023-11-11,1012457.00,1507145.00,713763.00,214454.00,326144.00,369004.00,72415.00,54001.00,130819.00,12750.00
2023-11-12,1089361.00,1357450.00,666904.00,153428.00,309980.00,358386.00,67849.00,52861.00,82371.00,13589.00
2023-11-13,1047850.00,1648906.00,631569.00,144556.00,295728.00,412360.00,66693.00,46059.00,146496.00,14225.00
2023-11-14,1035863.00,1659942.00,609552.00,134314.00,296935.00,354611.00,35296.00,53439.00,145523.00,13144.00
2023-11-15,1010789.00,1628748.00,605367.00,177115.00,314340.00,416102.00,29514.00,50735.00,150782.00,12517.00
2023-11-16,1026381.00,1658285.00,579078.00,201456.00,323883.00,307389.00,113478.00,51477.00,139131.00,11964.00
2023-11-17,1006824.00,1558319.00,645823.00,269352.00,313510.00,366883.00,121362.00,49985.00,126708.00,10718.00
2023-11-18,909167.00,1370124.00,554102.00,147825.00,301524.00,351693.00,152682.00,39224.00,131584.00,11274.00
2023-11-19,874880.00,1470071.00,652595.00,153039.00,303596.00,332410.00,133806.00,49282.00,147507.00,9867.00
2023-11-20,986982.00,1455909.00,741094.00,207486.00,359693.00,356276.00,129333.00,46681.00,87689.00,12756.00
2023-11-21,979352.00,1531312.00,663997.00,187732.00,338193.00,402243.00,117388.00,42617.00,96130.00,12385.00
2023-11-22,1056455.00,1461767.00,608915.00,167767.00,344798.00,441852.00,153274.00,37540.00,177499.00,11607.00
2023-11-23,1027819.00,1472140.00,630485.00,185013.00,345438.00,343296.00,129531.00,57365.00,157855.00,13124.00
2023-11-24,1089543.00,1621594.00,777181.00,195635.00,333948.00,247333.00,119358.00,44189.00,139628.00,13314.00
2023-11-25,988456.00,1273826.00,719426.00,163476.00,304224.00,368061.00,124793.00,51649.00,157599.00,11047.00
2023-11-26,1021136.00,1218434.00,694119.00,157957.00,300373.00,346153.00,124202.00,43494.00,159353.00,11496.00
2023-11-27,1067378.00,1392266.00,656456.00,169650.00,302384.00,381897.00,135905.00,34427.00,163519.00,11974.00
2023-11-28,1091551.00,1345274.00,664405.00,172408.00,310711.00,368218.00,140930.00,31758.00,149373.00,11342.00
2023-11-29,1112899.00,1466860.00,601959.00,170540.00,314769.00,349934.00,147354.00,44013.00,159401.00,13068.00
2023-11-30,1123630.00,1639232.00,599522.00,168998.00,322256.00,329818.00,115474.00,51016.00,166171.00,13813.00
2023-12-01,1126086.00,1624269.00,719708.00,173077.00,338973.00,427468.00,128788.00,46989.00,169363.00,14102.00
2023-12-02,1073964.00,1328996.00,494968.00,162159.00,317432.00,370820.00,125977.00,41624.00,138673.00,13665.00
2023-12-03,1028171.00,1402438.00,591328.00,162521.00,317349.00,342340.00,115222.00,36107.00,165560.00,15800.00
2023-12-04,1129468.00,1597758.00,663801.00,189571.00,361926.00,359557.00,128895.00,37600.00,167339.00,15763.00
2023-12-05,1212405.00,1556481.00,519625.00,185495.00,349888.00,355440.00,129064.00,38883.00,167769.00,20713.00
